date,time,temperature,humidity,luminosity
2021-11-4,20:00:00,21.2,35.5,bright
2021-11-4,20:00:00,21.2,35.4,bright
2021-11-4,20:00:00,21.2,35.5,pitch black
2021-11-4,20:00:00,21.2,35.4,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.4,pitch black
2021-11-4,20:00:00,21.2,35.4,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.2,35.3,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.3,35.4,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.3,35.4,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.3,35.4,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.3,35.3,pitch black
2021-11-4,20:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
